id,severity,model,prompt_template_id,scene_version,decoding,targets,transcript,auto_metrics,matched_corefacts,passes_qc,prompt_hash,seed,run_id,version
catrescue_llama3.1-8b_mild_20251013-101008_0000,mild,llama3.1-8b,mild_1,catrescue_v1,"{'temperature': 0.5, 'top_p': 0.9, 'presence_penalty': 0.2, 'frequency_penalty': 0.1}","{'ciu_min': 0.6, 'ciu_max': 0.75, 'min_core_facts': 8}","It's a cat rescue scene. There's a woman kneeling down next to a small, old-looking house with a broken roof. She's holding a little kitten in her arms. The kitten looks scared but seems okay. It's trying to hide its face behind the woman's hand.

There's another person standing nearby, an older man I think, he's looking at the woman and the kitten. He's got a concerned expression on his face. Behind him, there's a big tree with branches that look like they're about to fall off. The ground around them is all dusty and messy.

The house itself has some broken windows and a door hanging off its hinges. It looks like it's been damaged by something. The woman is smiling at the kitten, she seems happy to have rescued it. Overall, it's a pretty dramatic scene, but it's also kind of heartwarming.","{'ciu': 0.0, 'ttr': 0.667, 'mlu': 11.077, 'wpm_proxy': 144, 'errors': {'phonemic': 0, 'semantic': 0, 'neologism': 0, 'perseveration': 0}}",[],False,fb0a2f0fc9f6fe66,,20251013-101008,1
catrescue_llama3.1-8b_mild_20251013-101008_0001,mild,llama3.1-8b,mild_2,catrescue_v1,"{'temperature': 0.5, 'top_p': 0.9, 'presence_penalty': 0.2, 'frequency_penalty': 0.1}","{'ciu_min': 0.6, 'ciu_max': 0.75, 'min_core_facts': 8}","There's a woman on a balcony trying to rescue a cat stuck in a tree. The cat is meowing loudly. She has a long-handled net but it's not reaching far enough. Uh, she tries to climb up the ladder but it's shaky.

The cat looks scared and tries to move away from her. Um, the woman holds the net steady and tries again. Finally, she manages to scoop up the cat with the net. 

She carefully carries the net down the ladder and hands the cat over to a man who's standing below. He takes the cat gently and starts petting it. The woman smiles and says something reassuring to the cat. More people arrive, including a woman with a camera and a man holding a blanket. They're all smiling and talking about how they helped save the cat.","{'ciu': 0.125, 'ttr': 0.597, 'mlu': 11.583, 'wpm_proxy': 139, 'errors': {'phonemic': 0, 'semantic': 0, 'neologism': 0, 'perseveration': 0}}",['11_rescue_cat_goal'],False,d4b1ec287af95da8,,20251013-101008,1
catrescue_llama3.1-8b_mild_20251013-101008_0002,mild,llama3.1-8b,mild_3,catrescue_v1,"{'temperature': 0.5, 'top_p': 0.9, 'presence_penalty': 0.2, 'frequency_penalty': 0.1}","{'ciu_min': 0.6, 'ciu_max': 0.75, 'min_core_facts': 8}","There's this cat... it's trapped in a tree. It looks like it was trying to climb up, but got stuck halfway through. The branches are pretty thin, so I'm not sure how much weight they can hold. There's a little kitten with it too, clinging onto its fur. 

The cat is meowing really loudly, trying to get someone's attention. The kitten seems scared, but it's still holding on tight. A woman is trying to reach out to them with a long stick, but she's having trouble getting close enough.

A man is calling for help from down below, asking if anyone has a ladder. Another person is running towards him with a ladder, but it's looking a bit wobbly. They're all trying to figure out how to get the cat and the kitten down safely without hurting either of them.","{'ciu': 0.0, 'ttr': 0.707, 'mlu': 12.727, 'wpm_proxy': 140, 'errors': {'phonemic': 0, 'semantic': 0, 'neologism': 0, 'perseveration': 0}}",[],False,eef29b3e685cce7f,,20251013-101008,1
catrescue_llama3.1-8b_mild_20251013-101008_0003,mild,llama3.1-8b,mild_4,catrescue_v1,"{'temperature': 0.5, 'top_p': 0.9, 'presence_penalty': 0.2, 'frequency_penalty': 0.1}","{'ciu_min': 0.6, 'ciu_max': 0.75, 'min_core_facts': 8}","A young girl stands near a tall tree with a cat perched on a branch above her head. She's holding onto a fallen ladder that leans against the trunk, looking worried. Her father is standing nearby, trying to reassure her as he talks into a phone. A small dog runs around their feet, barking anxiously.

The scene is chaotic, with emergency responders in bright yellow suits rushing towards them. Firefighters in helmets and coats arrive at the scene, assessing the situation before beginning to work together to safely rescue the stranded cat. One of them carefully climbs up the ladder while another holds it steady below. The little girl looks relieved as she watches the firefighter reach the cat and gently coax it down into his arms.","{'ciu': 0.25, 'ttr': 0.756, 'mlu': 15.875, 'wpm_proxy': 127, 'errors': {'phonemic': 0, 'semantic': 0, 'neologism': 0, 'perseveration': 0}}","['1_girl', '5_fallen_ladder']",False,61cbab02b9731ad6,,20251013-101008,1
catrescue_llama3.1-8b_mild_20251013-101008_0004,mild,llama3.1-8b,mild_1,catrescue_v1,"{'temperature': 0.5, 'top_p': 0.9, 'presence_penalty': 0.2, 'frequency_penalty': 0.1}","{'ciu_min': 0.6, 'ciu_max': 0.75, 'min_core_facts': 8}","There's a cat stuck in a tree. It's a small tree with branches that go up pretty high. The cat is about halfway up the tree. It looks like it was trying to climb down but got its paws caught on some of the branches. The cat seems scared and is looking around frantically. There's a person standing near the base of the tree, looking up at the cat with concern. They're holding a long stick or pole, possibly a broom handle, which they might be using to try and coax the cat down. The background is a suburban neighborhood with houses and yards. There are some people walking by in the distance, but they seem to be ignoring the scene. The sun is shining, casting a warm glow over everything.","{'ciu': 0.0, 'ttr': 0.634, 'mlu': 13.1, 'wpm_proxy': 131, 'errors': {'phonemic': 0, 'semantic': 0, 'neologism': 0, 'perseveration': 0}}",[],False,fb0a2f0fc9f6fe66,,20251013-101008,1
catrescue_llama3.1-8b_mild_20251013-101008_0005,mild,llama3.1-8b,mild_2,catrescue_v1,"{'temperature': 0.5, 'top_p': 0.9, 'presence_penalty': 0.2, 'frequency_penalty': 0.1}","{'ciu_min': 0.6, 'ciu_max': 0.75, 'min_core_facts': 8}","There's a woman standing in her backyard with a big smile on her face. She's holding a little girl who's crying. They're both looking up at a tree where a cat is stuck. The cat meows loudly.

The woman carefully gets out a ladder from behind the house. She sets it up against the tree, making sure it's steady. The little girl looks worried. 

The woman starts to climb the ladder slowly, telling the little girl she'll be careful. When she reaches the top, she gently picks up the cat and brings it down to the ground. The cat purrs happily as the woman hands it to the little girl. The little girl hugs the cat tightly.

Just then, two men arrive in a truck. They get out and start helping the woman put the ladder away.","{'ciu': 0.125, 'ttr': 0.599, 'mlu': 10.538, 'wpm_proxy': 137, 'errors': {'phonemic': 0, 'semantic': 0, 'neologism': 0, 'perseveration': 0}}",['1_girl'],False,d4b1ec287af95da8,,20251013-101008,1
catrescue_llama3.1-8b_mild_20251013-101008_0006,mild,llama3.1-8b,mild_3,catrescue_v1,"{'temperature': 0.5, 'top_p': 0.9, 'presence_penalty': 0.2, 'frequency_penalty': 0.1}","{'ciu_min': 0.6, 'ciu_max': 0.75, 'min_core_facts': 8}","Okay so there's this cat... it's trapped under a pile of rubble. It's trying to get out, but it can't move much because there's debris all around it. There's a big chunk of wood on top of its leg, and another piece is pinning down its body. The cat's meowing really loudly, like it's in pain.

There's a woman trying to help, she's carefully moving some of the rubble away from the cat. She's being really gentle, I think she doesn't want to hurt it more. But every time she tries to lift something off, the cat moves and it gets scared again. 

The woman is talking to the cat softly, trying to calm it down, but it's still meowing pretty loudly. Another person comes over with a first aid kit, they're checking the cat's injuries. They're saying something to the woman about calling a vet, but I'm not sure if that's what she said exactly...","{'ciu': 0.0, 'ttr': 0.647, 'mlu': 14.182, 'wpm_proxy': 156, 'errors': {'phonemic': 0, 'semantic': 0, 'neologism': 0, 'perseveration': 0}}",[],False,eef29b3e685cce7f,,20251013-101008,1
catrescue_llama3.1-8b_mild_20251013-101008_0007,mild,llama3.1-8b,mild_4,catrescue_v1,"{'temperature': 0.5, 'top_p': 0.9, 'presence_penalty': 0.2, 'frequency_penalty': 0.1}","{'ciu_min': 0.6, 'ciu_max': 0.75, 'min_core_facts': 8}","The scene shows a young girl standing next to a large tree with a cat perched on a branch above her. The girl is looking up at the cat with concern in her eyes. Her father stands nearby, holding a phone and speaking into it, likely calling for help. On the ground below, a metal ladder lies twisted and bent after falling from the tree. A dog watches curiously from the edge of the frame, its tail wagging slightly. In the distance, two firefighters can be seen rushing towards the scene, their bright yellow helmets and coats a stark contrast to the calm surroundings. They move quickly, ready to spring into action as soon as they arrive.","{'ciu': 0.125, 'ttr': 0.718, 'mlu': 16.714, 'wpm_proxy': 117, 'errors': {'phonemic': 0, 'semantic': 0, 'neologism': 0, 'perseveration': 0}}",['1_girl'],False,61cbab02b9731ad6,,20251013-101008,1
catrescue_llama3.1-8b_moderate_20251013-101008_0000,moderate,llama3.1-8b,moderate_1,catrescue_v1,"{'temperature': 0.7, 'top_p': 0.9, 'presence_penalty': 0.4, 'frequency_penalty': 0.2}","{'ciu_min': 0.4, 'ciu_max': 0.6, 'min_core_facts': 6}","Um, okay... there's like an animal in this picture... it's a cat? I think. Yeah, definitely a cat. Um, it has fur, you know, fluffy stuff all over its body. And uh, eyes. They're greenish-colored. Not really sure why they're so important to describe, but... 

It's sitting on something, um, soft-looking. Like a blanket maybe? Or is that too vague? It doesn't matter. The point is it's got four legs, two front ones are sticking out from under... thingy. You see what I mean?

And then there's another object next to it, kind of round and shiny. Could be food, could be toy, don't know which one. But yeah, those are the main things. Just your basic cat rescue scene here.","{'ciu': 0.0, 'ttr': 0.818, 'mlu': 6.05, 'wpm_proxy': 121, 'errors': {'phonemic': 0, 'semantic': 0, 'neologism': 0, 'perseveration': 0}}",[],False,34f1f765a2e1731a,,20251013-101008,1
catrescue_llama3.1-8b_moderate_20251013-101008_0001,moderate,llama3.1-8b,moderate_2,catrescue_v1,"{'temperature': 0.7, 'top_p': 0.9, 'presence_penalty': 0.4, 'frequency_penalty': 0.2}","{'ciu_min': 0.4, 'ciu_max': 0.6, 'min_core_facts': 6}","Um, there's like this big tree... and it has branches that have broken off from a storm I think. And then you see one of these animals, uh, it was supposed to be a dog, no wait, it's actually a cat stuck up high in the branch.

Okay so some people come running over because they heard all the commotion and they're trying to figure out how to get the cat down safely without hurting it. One person starts looking around for something sturdy enough to climb up with while another person tries to distract the cat by calling its name softly.

They manage to find a long rope which they tie together with some other stuff to create kind of a makeshift pulley system and carefully lower the cat down onto a blanket someone else brought over. Everyone breathes a sigh of relief when the cat lands safe and sound on the ground.","{'ciu': 0.167, 'ttr': 0.747, 'mlu': 22.0, 'wpm_proxy': 154, 'errors': {'phonemic': 0, 'semantic': 0, 'neologism': 0, 'perseveration': 0}}",['11_rescue_cat_goal'],False,2b103497674e4ca8,,20251013-101008,1
